cuisine,Restaraunts,Count
American,"[u'73278', u'60258', u'82202', u'67923', u'63068', u'67383', u'72488', u'952', u'62452', u'60900', u'82171', u'72355', u'80828', u'72699', u'68814', u'79403', u'70620', u'71702', u'76710', u'73221', u'78689', u'70258', u'62822', u'69178', u'64621', u'72477', u'70329', u'76689', u'67412', u'77557', u'58298', u'79043', u'13431', u'81295', u'79594', u'70811', u'60252', u'60317', u'57871', u'66184', u'77988', u'79986', u'81281', u'80677', u'64314', u'2992', u'68846', u'76815', u'79293', u'61021', u'75675', u'41459', u'58856', u'30691', u'73901', u'62817', u'78920', u'58904', u'81289', u'73255', u'68302', u'74832', u'60302', u'82136', u'79040', u'61003', u'73810', u'80203', u'73092', u'61571', u'70809', u'82111', u'1107', u'78889', u'79233', u'60322', u'71168', u'60903', u'80414', u'73082', u'14553', u'82089', u'80052', u'68584', u'73223', u'80110', u'73382', u'73764', u'70339', u'72264', u'81782', u'79228', u'80423', u'82271', u'76586', u'76383', u'81390', u'76662', u'68556', u'60202', u'78888', u'80141', u'60871', u'75825', u'56901', u'76832', u'79697', u'79802', u'66354', u'72471', u'73004', u'30795', u'80521', u'71257', u'81993', u'60316', u'60191', u'81729', u'78385', u'78811', u'61615', u'80838', u'81101', u'79157', u'60497', u'71268', u'58350', u'58807', u'80168', u'66669', u'80132', u'79377', u'32138', u'82205', u'80071', u'79386', u'75542', u'79141', u'80520', u'74708', u'72140', u'39963', u'70622', u'79481', u'60321', u'71970', u'76687', u'2761', u'79446', u'72241', u'74530', u'78241', u'78241', u'78241', u'61381', u'75108', u'65885', u'76452', u'62693', u'73091', u'79435', u'71700', u'82306', u'2898', u'78598', u'60906', u'62299', u'70070', u'76840', u'75867', u'35984', u'74025', u'61048', u'79039', u'74941', u'73484', u'80424', u'59213', u'69336', u'73379', u'80440', u'69357', u'67179', u'57979', u'79280', u'79280', u'82204', u'32126', u'77641', u'30785', u'79759', u'3256', u'80192', u'68518', u'79811', u'52960', u'76653', u'67911', u'72305', u'76681', u'64434', u'73891', u'67794', u'67193', u'61459', u'75200', u'57331', u'62950', u'66042', u'69396', u'78439', u'79368', u'77597', u'76686', u'73145', u'82369', u'63278', u'73012', u'76778', u'61461', u'81588', u'29168', u'68377', u'79949', u'71628', u'64901', u'75622', u'80878', u'75740', u'74659', u'35842', u'78566', u'61392', u'66818', u'60223', u'77593', u'76507', u'78872', u'70820', u'79515', u'82032', u'71454', u'76755', u'76513', u'82338', u'78348', u'78348', u'74411', u'64822', u'71353', u'67205', u'60189', u'61036', u'59483', u'61030', u'79944', u'82182', u'62236', u'1090', u'73318', u'80006', u'60324', u'76567', u'81446', u'78935', u'63158', u'60233', u'60901', u'71356', u'81422', u'76631', u'69186', u'81781', u'60568', u'78899', u'76035', u'80202', u'82264', u'73257', u'76538', u'75536', u'80358', u'77699', u'79270', u'60674', u'74755', u'60836', u'62068', u'75011', u'76437', u'60825', u'75772', u'75961', u'62292', u'61135', u'70919', u'3286', u'78570', u'61200', u'61424', u'76440', u'59003', u'73056', u'75119', u'61559', u'74741', u'79903', u'78858', u'76593', u'78788', u'78957', u'74873', u'79562', u'79867', u'61793', u'75501', u'73161', u'71109', u'80218', u'67947', u'79441', u'60318', u'76571', u'77665', u'64724', u'73970', u'954', u'61952', u'74779', u'60101', u'73893', u'81648', u'74607', u'80136', u'73552', u'71754', u'75056', u'74662', u'82283', u'998', u'82122', u'58481', u'68198', u'75116', u'61843', u'75504', u'58934', u'69647', u'63847', u'64432', u'79185', u'60067', u'73963', u'79464', u'79449', u'61320', u'60166', u'71698', u'80898', u'73476', u'79326', u'74413', u'78871', u'79128', u'80065', u'74024', u'69028', u'68501', u'78990', u'68831', u'70721', u'58935', u'80831', u'71979', u'69062', u'82236', u'60950', u'61287', u'81766', u'72482', u'80242', u'62021', u'73907', u'81976', u'74677', u'79927', u'77936', u'45845', u'71073', u'60966', u'63578', u'73667', u'60295', u'81960', u'82451', u'49337', u'79190', u'79412', u'69809', u'73146', u'80439', u'62876', u'80837', u'76408', u'76821', u'69481', u'79677', u'71785', u'76750', u'73413', u'75524', u'73613', u'80149', u'73873', u'71699', u'73890', u'61628', u'58406', u'74420', u'60320', u'70671', u'76738', u'75788', u'78977', u'64186', u'71784', u'80573', u'76448', u'78423', u'75237', u'79180', u'71995', u'78677', u'3248', u'60905', u'80339', u'60981', u'74579', u'78515', u'75606', u'82221', u'80378', u'73129', u'75549', u'73922', u'61442', u'75385', u'82151', u'3217', u'62022', u'80833', u'77569', u'79835', u'63852', u'835', u'73804', u'60899', u'73222', u'76365', u'75784', u'62552', u'71808', u'72907', u'79901', u'75547', u'76740', u'78392', u'81433', u'39098', u'65964', u'74885', u'76529', u'81125', u'80148', u'68347', u'76502', u'75005', u'81501', u'79299', u'82087', u'80541', u'60904', u'74599', u'79517', u'81337', u'74070', u'80198', u'79487', u'73272', u'72896', u'79643', u'76565', u'81473', u'76530', u'59208', u'79242', u'79396', u'32071', u'66888', u'79701', u'79639', u'29753', u'66951', u'74113', u'58502', u'71985', u'73571', u'73396', u'75044', u'78855', u'58389', u'59813', u'82422', u'81409', u'74666', u'80041', u'73107', u'62570', u'68386', u'60473', u'71715', u'70305', u'79528', u'58400', u'80437', u'72913', u'73568', u'71018', u'76728', u'69029', u'80758', u'73807', u'58195', u'71303', u'58543', u'81115', u'74153', u'75627', u'78777', u'79005', u'62895', u'72415', u'78380', u'74388', u'79369', u'64696', u'70738', u'76776', u'75103', u'73808', u'75665', u'79502', u'70280', u'76633', u'75956', u'81283', u'62019', u'67851', u'80835', u'60253', u'58932', u'77651', u'79852', u'67166', u'74270', u'64234', u'79206', u'69608', u'61334', u'75836', u'80080', u'66885', u'70248', u'73100', u'70238', u'78581', u'82378', u'60313', u'74880', u'76431', u'63365', u'69202', u'58387', u'70810', u'73088', u'78365', u'60208', u'61369', u'80589', u'70053', u'75722', u'69484', u'64801', u'69208', u'79939', u'68315', u'63498', u'75864', u'71635', u'62575', u'77420', u'78909', u'81414', u'61735', u'76519', u'80256', u'80444', u'71888', u'81742', u'72456', u'66552', u'79373', u'72631', u'57651', u'78382', u'75933', u'82333', u'70991', u'60204', u'81120', u'3159', u'60847', u'76833', u'69675', u'78866', u'1398', u'75699', u'81437', u'71130', u'82354', u'81290', u'75120', u'76617', u'79687', u'58368', u'32227', u'71005', u'78690', u'68002', u'65001', u'74012', u'80216', u'69588', u'69397', u'78868', u'63859', u'63549', u'75697', u'72546', u'79923', u'76515', u'76543', u'78994', u'57617', u'75677', u'78869', u'63948', u'80128', u'74562', u'80023', u'80135', u'72164', u'65882', u'76413', u'75163', u'76812', u'72090', u'76683', u'76556', u'58526', u'79474', u'75574', u'75472', u'76031', u'71605', u'73845', u'73332', u'70800', u'60910', u'58614', u'71211', u'79010', u'65259', u'73013', u'79196', u'81668', u'74377', u'77741', u'77741', u'78987', u'6117', u'80223', u'78484', u'77714', u'76741', u'3064', u'1052', u'81502', u'75626', u'74577', u'76780', u'79398', u'79227', u'79431', u'73361', u'69091', u'74543', u'75105', u'75854', u'79874', u'78519', u'73996', u'66416', u'80091', u'79111', u'57904', u'73699', u'74816', u'75454', u'67088', u'60255', u'72516', u'63707', u'81834', u'72564', u'79545', u'82075', u'68912', u'79673', u'81339', u'1270', u'79355', u'78549', u'63836', u'60949', u'68740', u'73409', u'75514', u'61737', u'61198', u'72315', u'60644', u'75162', u'74752', u'82108', u'70720', u'79863', u'73653', u'79553', u'74817', u'72539', u'74695', u'82261', u'74673', u'74813', u'81959', u'78402', u'60265', u'60898', u'49333', u'76632', u'80620', u'74091', u'73702', u'67016', u'76514', u'73908', u'71141', u'75639', u'71033', u'68680', u'76564', u'40900', u'78537', u'81725', u'74781', u'59489', u'71634', u'9947', u'67063', u'82115', u'76436', u'72324', u'81470', u'73015', u'81117', u'60514', u'69959', u'68354', u'71612', u'68068', u'78606', u'71244', u'1280', u'78900', u'73279', u'72453', u'69061', u'76517', u'78191', u'79037', u'49332', u'75761', u'68044', u'75896', u'81881', u'80502', u'57277', u'60902', u'78891', u'61365', u'72433', u'72954', u'75061', u'82054', u'77580', u'61043', u'62511', u'73220', u'71113', u'73477', u'78919', u'76777', u'80106', u'58157', u'72229', u'59741', u'70787', u'239', u'80207', u'75795', u'81081', u'67842', u'75706', u'66489', u'81412', u'66411', u'75990', u'71819', u'73119', u'75240', u'73532', u'75194', u'75378', u'78989', u'63497', u'74796', u'60530', u'79250', u'76568', u'73632', u'81123', u'79928', u'75499', u'61827', u'80075', u'82020', u'81369', u'69219', u'70229', u'75241', u'66520', u'76623', u'64824', u'69248', u'69004', u'73127', u'30830', u'82244', u'70647', u'68212', u'78582', u'80676', u'74840', u'62820', u'75971', u'68909', u'75557', u'73084', u'73589', u'79465', u'60246', u'71590', u'75446', u'67476', u'70355', u'70806', u'72376', u'73200', u'80228', u'68004', u'71980', u'59622', u'76402', u'61910', u'69265', u'75866', u'58194', u'59211', u'60212', u'3494', u'75359', u'78527', u'82363', u'81829', u'76536', u'68422', u'72953', u'78269', u'70652', u'81153', u'81884', u'77974', u'32081', u'77667', u'69457']",916
Farm to Table,[u'81757'],1
African,"[u'69150', u'78987', u'68422']",3
Steak,"[u'73160', u'61021', u'60302', u'61003', u'73092', u'79509', u'76832', u'73004', u'81993', u'60191', u'73260', u'69233', u'82306', u'69336', u'69497', u'79811', u'64820', u'62950', u'13086', u'81680', u'79511', u'64520', u'73142', u'71415', u'81685', u'62021', u'70277', u'59813', u'73107', u'64495', u'78380', u'62019', u'67851', u'71840', u'73100', u'78792', u'79373', u'76833', u'64756', u'70861', u'68151', u'63859', u'79374', u'75105', u'61037', u'72013', u'59494', u'26579', u'69832', u'67854', u'76426', u'73084', u'32081']",53
South American,"[u'81633', u'79345', u'75029', u'74615', u'71207', u'58350', u'13086', u'78793', u'62801', u'66886', u'63716', u'69068', u'74996', u'69467', u'34600', u'75386', u'72422', u'72843', u'74919', u'70998', u'69609', u'73074', u'68306', u'81018', u'59884', u'79104', u'75321', u'64295', u'79478', u'68581']",30
Ice Cream,"[u'80854', u'73531', u'77679', u'78985', u'70754', u'58556', u'49425', u'73208', u'76631', u'72578', u'78521', u'81440', u'75370', u'72569', u'79138', u'74370', u'77774', u'66762', u'82148', u'79299', u'78699', u'81661', u'77689', u'81356', u'76553', u'74377', u'36367', u'41615', u'81138', u'76777', u'71884', u'57491', u'66520', u'64133']",34
Italian,"[u'71364', u'74954', u'74617', u'73451', u'66058', u'76790', u'75892', u'26527', u'3216', u'61059', u'3388', u'63763', u'72101', u'71173', u'72794', u'69106', u'66585', u'79749', u'72723', u'73566', u'66297', u'57729', u'69586', u'70963', u'60402', u'57709', u'78794', u'81332', u'68757', u'36527', u'74903', u'68407', u'80232', u'79773', u'71944', u'79043', u'38235', u'79941', u'69887', u'6109', u'57272', u'71172', u'36468', u'67438', u'69596', u'63179', u'77988', u'63704', u'66615', u'70194', u'75136', u'79051', u'76771', u'30872', u'1511', u'63254', u'69071', u'75284', u'3869', u'80189', u'60301', u'76372', u'74832', u'69576', u'81989', u'70246', u'71608', u'66488', u'81518', u'75451', u'60973', u'65025', u'81542', u'82355', u'71499', u'75099', u'3065', u'59488', u'739', u'75376', u'76371', u'75166', u'60628', u'68594', u'70809', u'75897', u'66066', u'1107', u'67882', u'73308', u'81282', u'79238', u'71456', u'73095', u'63910', u'79090', u'69292', u'79541', u'60214', u'82089', u'71843', u'71381', u'70123', u'74535', u'80052', u'68584', u'68067', u'70320', u'72463', u'72670', u'69878', u'4037', u'74412', u'73558', u'67388', u'64082', u'63709', u'36358', u'66915', u'79061', u'74469', u'67720', u'63607', u'64447', u'30701', u'74728', u'3383', u'70342', u'73252', u'60896', u'72661', u'4180', u'75925', u'74882', u'72050', u'68916', u'72448', u'70290', u'79131', u'65387', u'79193', u'693', u'79335', u'79291', u'68465', u'78811', u'76823', u'72118', u'902', u'69600', u'69164', u'78190', u'79030', u'71468', u'71204', u'81377', u'82205', u'82007', u'71371', u'79591', u'76342', u'79386', u'2954', u'65046', u'68391', u'78764', u'77758', u'21327', u'72140', u'82347', u'66989', u'80543', u'35676', u'51107', u'82068', u'75141', u'70352', u'59762', u'68066', u'62295', u'67862', u'59950', u'65336', u'69233', u'79814', u'75172', u'72553', u'62376', u'60804', u'68942', u'58360', u'80012', u'81956', u'79435', u'69447', u'62380', u'2898', u'59007', u'64671', u'59863', u'73871', u'71790', u'62372', u'60393', u'68597', u'79898', u'73254', u'70315', u'68664', u'61685', u'67084', u'59807', u'66634', u'81886', u'80359', u'76339', u'67062', u'71254', u'75439', u'3015', u'76806', u'73452', u'58297', u'71243', u'72739', u'67866', u'74920', u'71403', u'82429', u'68273', u'77641', u'59841', u'61406', u'73297', u'68063', u'57578', u'72852', u'68579', u'66162', u'61419', u'72254', u'90', u'3526', u'44227', u'1256', u'61459', u'72004', u'69888', u'62950', u'78652', u'58499', u'71853', u'58010', u'74503', u'63823', u'73012', u'75158', u'61461', u'70996', u'73276', u'73302', u'78756', u'41607', u'62110', u'81528', u'69234', u'29168', u'76583', u'62946', u'28554', u'81088', u'70763', u'74659', u'79294', u'3022', u'74949', u'74055', u'62466', u'75160', u'71078', u'82032', u'69418', u'68716', u'82338', u'75721', u'73801', u'78277', u'66882', u'67468', u'71745', u'82060', u'64083', u'81680', u'72523', u'1220', u'58629', u'71718', u'68392', u'76000', u'75937', u'72476', u'43767', u'65166', u'82343', u'9613', u'72377', u'80473', u'73072', u'81446', u'81586', u'70642', u'74776', u'81353', u'71680', u'73493', u'75533', u'30435', u'60498', u'80463', u'72735', u'79133', u'76035', u'78747', u'80536', u'66637', u'82344', u'79270', u'67090', u'80531', u'71531', u'74484', u'1133', u'74755', u'66373', u'75323', u'70303', u'72067', u'57000', u'74537', u'75011', u'80235', u'73319', u'4041', u'65883', u'73132', u'70359', u'82305', u'71331', u'62423', u'62292', u'67491', u'71298', u'78775', u'70919', u'81209', u'75829', u'75119', u'79903', u'76593', u'78788', u'72150', u'67024', u'44503', u'66616', u'57091', u'1037', u'64113', u'71156', u'67108', u'82003', u'60194', u'64729', u'71518', u'77438', u'58853', u'71181', u'72707', u'62959', u'82230', u'60206', u'71594', u'35859', u'61760', u'71812', u'82283', u'71188', u'72542', u'74992', u'71941', u'67878', u'71145', u'67717', u'77866', u'68418', u'81681', u'62177', u'12681', u'60067', u'57530', u'79704', u'27135', u'78721', u'66603', u'76767', u'71923', u'67199', u'62371', u'74592', u'81765', u'72211', u'67719', u'75437', u'80049', u'76396', u'3024', u'71687', u'66555', u'79326', u'81880', u'57329', u'80949', u'80065', u'73526', u'8080', u'79971', u'10130', u'68756', u'81448', u'65060', u'74578', u'66640', u'79830', u'3568', u'76370', u'81976', u'63791', u'74677', u'60596', u'77936', u'73448', u'45845', u'71073', u'71878', u'68549', u'79107', u'70277', u'70299', u'3240', u'75053', u'68776', u'68090', u'82134', u'78483', u'3467', u'81960', u'67856', u'69612', u'62013', u'67200', u'78651', u'74717', u'67706', u'70253', u'70878', u'71387', u'69720', u'52197', u'70289', u'3355', u'80956', u'70699', u'62938', u'34688', u'74370', u'73413', u'66742', u'73697', u'73873', u'58557', u'66965', u'79083', u'68822', u'74900', u'80283', u'57678', u'79165', u'72552', u'70255', u'78946', u'74638', u'67010', u'70126', u'74718', u'78677', u'58296', u'72656', u'80339', u'59866', u'60981', u'68816', u'65343', u'60031', u'60887', u'72156', u'3319', u'79344', u'74637', u'66378', u'76609', u'62581', u'58806', u'76809', u'73922', u'68837', u'60859', u'80101', u'30746', u'63950', u'62022', u'79835', u'67187', u'72688', u'79823', u'73034', u'71825', u'56999', u'73836', u'72907', u'3237', u'68947', u'66866', u'76349', u'79901', u'65062', u'72142', u'72277', u'17256', u'68729', u'66541', u'80472', u'9201', u'31269', u'1036', u'76845', u'35248', u'73716', u'66851', u'72961', u'74746', u'82356', u'73381', u'69494', u'68565', u'73111', u'67091', u'71230', u'64658', u'79371', u'57897', u'60243', u'71075', u'61057', u'71645', u'81447', u'78926', u'68623', u'72437', u'72896', u'22797', u'72514', u'31265', u'80530', u'70379', u'75660', u'67082', u'69417', u'73721', u'62308', u'8133', u'60209', u'76706', u'5108', u'69967', u'3413', u'73571', u'79969', u'73287', u'79605', u'69092', u'8717', u'63138', u'62453', u'81409', u'71839', u'68973', u'80084', u'63770', u'72687', u'72080', u'69483', u'57581', u'81971', u'68625', u'62129', u'70717', u'70804', u'80316', u'68379', u'69363', u'60185', u'72296', u'78912', u'76405', u'74153', u'81739', u'67731', u'75151', u'78777', u'72461', u'82057', u'73214', u'79176', u'82345', u'72465', u'76597', u'3352', u'74551', u'20029', u'81546', u'69126', u'82164', u'37639', u'62023', u'76403', u'64445', u'39487', u'62290', u'69453', u'80009', u'71627', u'80534', u'75363', u'61162', u'68890', u'73450', u'64234', u'74968', u'71840', u'79771', u'62138', u'82352', u'75035', u'58094', u'924', u'79689', u'73502', u'70791', u'61124', u'57087', u'66151', u'71727', u'68356', u'82170', u'71748', u'76368', u'74547', u'71215', u'75143', u'3247', u'58387', u'67330', u'70810', u'61142', u'63730', u'74979', u'78365', u'64192', u'66880', u'70695', u'71703', u'70053', u'69010', u'64801', u'68450', u'69425', u'75358', u'71860', u'60702', u'72528', u'82103', u'81363', u'73048', u'74365', u'57734', u'66477', u'73000', u'78817', u'57311', u'68420', u'71635', u'30861', u'58576', u'70381', u'71116', u'81547', u'35759', u'71961', u'71410', u'70921', u'71430', u'74756', u'78834', u'9238', u'73323', u'58486', u'75285', u'62499', u'86', u'22647', u'72326', u'61736', u'60908', u'71265', u'67704', u'73475', u'69675', u'1398', u'81445', u'61064', u'81437', u'79877', u'17237', u'80248', u'80166', u'78860', u'79755', u'78830', u'68151', u'71973', u'79082', u'72208', u'69613', u'73337', u'66293', u'74744', u'78868', u'29750', u'63549', u'70178', u'72546', u'67363', u'81548', u'64655', u'63171', u'78585', u'77730', u'64479', u'68345', u'80128', u'70116', u'80546', u'60974', u'73284', u'37910', u'60284', u'56582', u'67492', u'51247', u'73213', u'67380', u'60050', u'9207', u'75163', u'67708', u'79374', u'82346', u'3427', u'68921', u'4313', u'60741', u'70816', u'78853', u'68089', u'69591', u'58532', u'68156', u'68504', u'71600', u'73713', u'79690', u'64755', u'65171', u'75443', u'73332', u'61432', u'80594', u'13318', u'73089', u'73013', u'71221', u'69042', u'68599', u'65004', u'79196', u'81668', u'63574', u'68978', u'81921', u'81502', u'72265', u'39133', u'68911', u'72127', u'73309', u'79227', u'70083', u'3023', u'67912', u'57310', u'64496', u'76430', u'62971', u'68041', u'71465', u'71076', u'71795', u'73996', u'72744', u'59680', u'71496', u'2955', u'59068', u'72608', u'71306', u'75454', u'65182', u'80076', u'66031', u'69261', u'71380', u'70929', u'4078', u'62006', u'60763', u'58817', u'72751', u'78836', u'63113', u'27991', u'69222', u'3195', u'78939', u'64542', u'68447', u'73351', u'65225', u'71692', u'65223', u'73409', u'73559', u'12037', u'71066', u'75162', u'38900', u'80048', u'81407', u'12718', u'80326', u'58095', u'79635', u'73653', u'75261', u'62109', u'60501', u'70015', u'73273', u'58485', u'73329', u'63180', u'57977', u'13268', u'60975', u'64657', u'69316', u'67159', u'74936', u'80494', u'67854', u'66626', u'82341', u'67852', u'73736', u'81913', u'68472', u'69762', u'67822', u'30809', u'69473', u'73026', u'27505', u'59748', u'79127', u'80538', u'62383', u'71823', u'80547', u'72638', u'82315', u'68274', u'69176', u'76002', u'80529', u'3484', u'74977', u'3426', u'65979', u'78843', u'73014', u'63807', u'60937', u'81601', u'78254', u'79269', u'71062', u'71244', u'57309', u'79748', u'69011', u'60096', u'71894', u'71714', u'80533', u'70805', u'71094', u'68662', u'74627', u'68681', u'65185', u'65269', u'72453', u'70956', u'66453', u'69522', u'82454', u'3927', u'3838', u'72532', u'81392', u'69726', u'78927', u'79186', u'77581', u'64129', u'73953', u'72786', u'76705', u'57649', u'58271', u'56936', u'71053', u'64982', u'74875', u'74805', u'74694', u'78835', u'67939', u'61058', u'68285', u'79858', u'69262', u'73033', u'80106', u'70761', u'72229', u'74723', u'74856', u'74068', u'51830', u'82398', u'61281', u'70951', u'75125', u'80632', u'69172', u'74512', u'73119', u'75240', u'75375', u'70271', u'71396', u'57881', u'68219', u'75939', u'63952', u'76334', u'64017', u'60305', u'75894', u'78924', u'69695', u'67867', u'82350', u'79476', u'12826', u'59438', u'1338', u'66349', u'71330', u'70229', u'75241', u'67873', u'73959', u'72599', u'64824', u'66618', u'82291', u'74600', u'75448', u'78776', u'72793', u'65347', u'79589', u'72770', u'66169', u'65260', u'74993', u'73589', u'60701', u'66644', u'14501', u'67812', u'73266', u'75950', u'75446', u'69371', u'78815', u'72376', u'70724', u'72756', u'61421', u'73330', u'61119', u'63737', u'79153', u'73253', u'74500', u'81430', u'79079', u'71613', u'69105', u'61165', u'65339', u'72230', u'79201', u'76369', u'71011', u'76533', u'70749', u'3962']",1059
Portuguese,"[u'79811', u'81501', u'67202', u'70106', u'63807']",5
Irish,"[u'78689', u'58298', u'64314', u'79326', u'73129', u'77569', u'79745', u'73107', u'78690', u'65882', u'73361', u'78519', u'78549', u'78537', u'76436', u'78606', u'81369', u'78582', u'81884']",19
Mexican,"[u'74095', u'63068', u'74609', u'82171', u'70329', u'77557', u'74111', u'76424', u'79559', u'68302', u'79995', u'1447', u'71125', u'60628', u'73363', u'76574', u'71475', u'81782', u'80193', u'76586', u'62555', u'79548', u'73260', u'66989', u'81551', u'66008', u'75211', u'75865', u'80042', u'76468', u'70360', u'68961', u'78439', u'66788', u'63934', u'2681', u'81652', u'61030', u'74115', u'79251', u'78271', u'80567', u'82161', u'78935', u'72052', u'80450', u'66328', u'77699', u'76600', u'31485', u'80511', u'62801', u'69246', u'79004', u'71415', u'75772', u'74614', u'69642', u'81544', u'63716', u'80136', u'62503', u'64646', u'81467', u'71476', u'68338', u'76347', u'80431', u'78990', u'72395', u'79927', u'70277', u'80458', u'74717', u'69809', u'80514', u'80060', u'76750', u'73951', u'74498', u'75399', u'76365', u'76389', u'66805', u'76540', u'75180', u'53898', u'75114', u'63861', u'78808', u'81473', u'60866', u'32071', u'72548', u'75493', u'75603', u'64817', u'80164', u'70280', u'72422', u'76633', u'57900', u'81273', u'66487', u'60289', u'79359', u'76442', u'80609', u'74880', u'63978', u'73088', u'78300', u'82335', u'75864', u'74480', u'66119', u'80249', u'68333', u'75185', u'72851', u'81774', u'72829', u'79780', u'78690', u'76029', u'69532', u'78201', u'66220', u'80135', u'75574', u'81991', u'80510', u'74798', u'81523', u'80105', u'78130', u'81959', u'49333', u'80620', u'59857', u'76564', u'74781', u'75827', u'79400', u'72324', u'68068', u'77615', u'77615', u'77615', u'61983', u'63945', u'76836', u'72168', u'73704', u'80207', u'78810', u'82419', u'80160', u'62334', u'82244', u'69891', u'72077', u'75971', u'78123', u'68909', u'72556', u'73748', u'79695', u'70204', u'75155', u'78151', u'74675']",172
Chinese,"[u'73539', u'68534', u'82231', u'74609', u'81264', u'67522', u'73346', u'79853', u'67411', u'69666', u'81522', u'79308', u'61523', u'65309', u'75317', u'79578', u'70136', u'73233', u'80379', u'65009', u'74950', u'73255', u'81937', u'75195', u'63384', u'2857', u'81760', u'973', u'73229', u'67478', u'74259', u'30726', u'80569', u'70199', u'40985', u'64858', u'66610', u'80039', u'61728', u'64183', u'69319', u'65152', u'76801', u'69895', u'63926', u'71256', u'80369', u'63960', u'79616', u'80161', u'78861', u'15158', u'82421', u'71960', u'67391', u'44221', u'68247', u'81749', u'66718', u'74610', u'3384', u'79999', u'68190', u'72531', u'74773', u'80434', u'80165', u'80578', u'81526', u'72507', u'71832', u'75946', u'30780', u'79245', u'68451', u'69461', u'72165', u'79537', u'74099', u'80022', u'75200', u'76497', u'79996', u'62700', u'73030', u'74094', u'73157', u'81836', u'68189', u'76811', u'74096', u'23923', u'69165', u'66850', u'62666', u'66788', u'69039', u'7964', u'66353', u'66660', u'71892', u'3185', u'71339', u'73950', u'73688', u'79940', u'67109', u'79522', u'79177', u'69623', u'71284', u'73553', u'74721', u'81324', u'78934', u'80508', u'79473', u'78614', u'72673', u'73501', u'73501', u'79596', u'81343', u'63749', u'69420', u'80067', u'81584', u'3836', u'66983', u'66579', u'80333', u'80333', u'67102', u'72620', u'71390', u'76486', u'66580', u'25864', u'73402', u'67799', u'69235', u'65252', u'69647', u'73353', u'69935', u'78954', u'66126', u'72511', u'67156', u'71979', u'75498', u'80365', u'67709', u'63515', u'79097', u'29856', u'14347', u'76582', u'75201', u'74689', u'81365', u'80018', u'4431', u'81620', u'72547', u'65153', u'56619', u'75255', u'79850', u'79579', u'62734', u'72715', u'73817', u'80368', u'69549', u'76540', u'73224', u'66855', u'74687', u'79173', u'79019', u'80550', u'69409', u'38522', u'76847', u'72012', u'82361', u'68180', u'61166', u'76818', u'71679', u'72318', u'12713', u'71019', u'72494', u'76834', u'74489', u'73481', u'64304', u'60087', u'40917', u'70409', u'71088', u'67137', u'63253', u'11276', u'63872', u'62028', u'57900', u'67875', u'70392', u'79564', u'74976', u'79574', u'76063', u'76431', u'80300', u'61369', u'64727', u'68530', u'73150', u'73489', u'18059', u'77551', u'62526', u'62551', u'73043', u'58077', u'70752', u'74100', u'67337', u'78072', u'67378', u'70019', u'70882', u'75712', u'71258', u'81756', u'68043', u'79232', u'77964', u'82207', u'79204', u'75677', u'62115', u'63690', u'80023', u'68511', u'75653', u'9114', u'76404', u'69846', u'71710', u'61099', u'79184', u'57350', u'76428', u'59051', u'80588', u'57879', u'62314', u'82323', u'14498', u'38410', u'30377', u'75275', u'73487', u'6817', u'61788', u'74757', u'68363', u'61288', u'80497', u'31517', u'80506', u'69238', u'72359', u'65246', u'68965', u'80083', u'77634', u'67517', u'67464', u'68639', u'74657', u'74069', u'36367', u'62360', u'66873', u'73352', u'68439', u'79003', u'59857', u'71483', u'67132', u'74589', u'62223', u'78802', u'79400', u'71830', u'79415', u'60266', u'76047', u'73677', u'26177', u'69557', u'79006', u'81557', u'80343', u'78844', u'1143', u'67171', u'71283', u'74831', u'69910', u'78936', u'74072', u'61587', u'3033', u'79388', u'60283', u'79156', u'78759', u'71802', u'66648', u'72562', u'79962', u'60938', u'72923', u'70151', u'66489', u'78725', u'81486', u'79653', u'24805', u'78589', u'73849', u'71108', u'75495', u'76392', u'72914', u'79261', u'81751', u'30830', u'82092', u'57635', u'67943', u'80082', u'66961', u'67514', u'73495', u'81411', u'66814', u'64993', u'67730', u'80073', u'74546', u'78773', u'79534', u'79695', u'75069', u'27957', u'82097', u'38789', u'75689']",365
Greek,"[u'61954', u'73305', u'58799', u'69178', u'70613', u'82313', u'61606', u'73580', u'75830', u'1107', u'68584', u'3353', u'57314', u'64082', u'73275', u'74558', u'30795', u'71728', u'59737', u'71204', u'66877', u'64682', u'66661', u'66989', u'79655', u'73041', u'64719', u'58010', u'75492', u'76643', u'73072', u'75533', u'77582', u'76538', u'73289', u'79819', u'81438', u'80602', u'80945', u'71812', u'82283', u'76767', u'69028', u'8080', u'70721', u'66640', u'75917', u'61168', u'45845', u'75963', u'81676', u'74531', u'70671', u'79571', u'78179', u'82221', u'58806', u'81112', u'79132', u'71808', u'72145', u'76740', u'74833', u'76529', u'74602', u'68347', u'81337', u'80947', u'68613', u'75853', u'71018', u'67806', u'64696', u'3352', u'58475', u'39487', u'68843', u'70716', u'72312', u'64801', u'71116', u'73944', u'64716', u'62900', u'80503', u'81110', u'80248', u'74562', u'75472', u'76476', u'76741', u'80465', u'63707', u'61338', u'79673', u'69147', u'60975', u'74474', u'69219', u'64824', u'69004', u'72770', u'79465', u'70794', u'73838', u'64697']",106
Peruvian,"[u'75029', u'69467', u'34600', u'75386', u'78867', u'75321']",6
